ASV	Phylum	Class	Order	Family	Genus	Species	Confidence	1003_Wk1	1003_Wk2	1003_Wk3	1003_Wk4	1003_Wk5	1003_Wk6	1003_Wk7	1003_Wk8	1003_Wk9	1004_Wk1	1004_Wk2	1004_Wk3	1004_Wk4	1004_Wk5	1004_Wk6	1004_Wk7	1004_Wk8	1004_Wk9	1005_Wk1	1005_Wk2	1005_Wk3	1005_Wk4	1005_Wk5	1005_Wk6	1005_Wk7	1005_Wk8	1005_Wk9	PCR_NEG	Wk1_Blank	Wk1_Control	Wk2_Control	Wk3_Blank	Wk3_Control	Wk4_1003Parallel	Wk4_1004Parallel	Wk4_1005Parallel	Wk4_Blank	Wk5_1003Parallel	Wk5_1004Parallel	Wk5_1005Parallel	Wk5_FieldBlank	Wk6_1003Parallel	Wk6_1004Parallel	Wk6_1005Parallel	Wk6_FieldBlank	Wk7_1003Parallel	Wk7_1004Parallel	Wk7_1005Parallel	Wk7_FieldBlank	Wk8_1003Parallel	Wk8_1004Parallel	Wk8_1005Parallel	Wk8_FieldBlank	Wk9_1003Parallel	Wk9_1004Parallel	Wk9_FieldBlank	XN_1	XN_2	XN_3
833f78d049b5386151c7f98b2836d8f7	 p__Chordata	 Actinopteri	 Cypriniformes	 Leuciscidae	 Pimephales	notatus	0.969207685642762	0	0	0	0	0	0	0	0	0	0	0	0	0	19257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ef9dc215c0df2ee19cff7b6b9b178233	 p__Chordata	 Actinopteri	 Cichliformes	 Cichlidae	 Oreochromis	aureus	0.981062824161457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104f267fdf7036d7a3304bfe80d63ffa	 p__Chordata	 Actinopteri	 Labriformes	 Labridae	 Tautogolabrus	adspersus	0.982051802419649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d57d1eb012225179da306dd78fa8b3e6	 p__Chordata	 Actinopteri	 Scombriformes	 Scombridae	 Rastrelliger		0.9987038192586	0	0	0	0	0	0	0	0	0	0	0	0	15664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901de58abb0ad642700747f01d50e9bb	 p__Chordata	 Actinopteri	 Scombriformes	 Scombridae	 Rastrelliger		0.996336850014192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23724856414b1c535c6cf4b6fcfc272e	 p__Chordata	 Actinopteri	 Perciformes	 Pholidae	 Pholis		0.997912675760102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ee2bec099a05d8d4609d2e9cfb61324	 p__Chordata	 Actinopteri	 Pleuronectiformes	 Pleuronectidae	 Pseudopleuronectes		0.992270866939719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3349	0	0	0	0	8615	0	0	0	0	0	0	0	0	0	0	0
fc854d8f9ef9808dc172ca3c36a94579	 p__Chordata	 Actinopteri	 Atheriniformes	 Atherinopsidae	 Menidia	beryllina	0.953134544484666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0
5cc9c634c441079aca6cf9bdfe61b13f	 p__Chordata	 Actinopteri	 Perciformes	 Gasterosteidae	 Pungitius		0.999999928262601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8377854474338cf60b17f3172f6e33e4	 p__Chordata	 Actinopteri	 Gadiformes	 Gadidae	 Pollachius	pollachius	0.925004831789913	0	0	0	0	0	0	0	0	9578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
